Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
5.4375, 1, -11, 121.667, 2.35777, 0.375
5.47917, 1, -20, 121.667, 2.2522, 0.375
5.51944, 1, -25, 121.667, 2.21701, 0.375
5.55833, 1, 0, 121.25, 2.45161, 0.375
5.59722, 1, -6, 120.417, 2.38123, 0.375
5.63681, 1, -9, 119.583, 2.35777, 0.625
5.67708, 1, -15, 119.167, 2.29912, 0.625
5.71667, 1, -21, 118.75, 2.2522, 0.625
5.75556, 1, 4, 118.333, 2.4868, 0.625
5.79444, 1, 2, 118.333, 2.46334, 0.625
5.83472, 1, -4, 118.333, 2.39296, 0.625
5.875, 1, -11, 118.333, 2.33431, 0.375
5.91528, 1, -17, 118.75, 2.28739, 0.375
5.95486, 1, -23, 118.75, 2.22874, 0.375
5.99514, 1, -1, 119.167, 2.39296, 0.375
6.03472, 1, -3, 119.583, 2.42815, 0.375
6.07431, 1, -8, 120, 2.32258, 0.375
6.11389, 1, -14, 119.583, 2.31085, 0.375
6.15417, 1, -20, 119.167, 2.2522, 0.375
6.19375, 1, 3, 119.167, 2.45161, 0.375
6.23264, 1, -1, 118.75, 2.42815, 0.375
6.27222, 1, -4, 118.75, 2.39296, 0.375
6.3125, 1, -10, 118.75, 2.34604, 0.375
6.35417, 1, -18, 118.75, 2.27566, 0.375
6.39306, 1, -23, 119.167, 2.2522, 0.375
6.43194, 1, 1, 119.583, 2.42815, 0.375
6.47153, 1, -2, 119.583, 2.41642, 0.375
6.5125, 1, -9, 119.583, 2.35777, 0.375
6.55208, 1, -15, 119.583, 2.29912, 0.625
6.59236, 1, -20, 119.167, 2.27566, 0.625
6.63194, 1, 4, 119.167, 2.4868, 0.625
6.67083, 1, -2, 119.167, 2.41642, 0.625
6.71042, 1, -6, 119.167, 2.38123, 0.625
6.75, 1, -10, 119.167, 2.3695, 0.625
6.79028, 1, -16, 118.75, 2.31085, 0.625
6.82917, 1, -22, 118.75, 2.24047, 0.625
6.86875, 1, 2, 118.75, 2.46334, 0.625
6.90972, 1, -2, 118.75, 2.41642, 0.625
6.94931, 1, -9, 118.75, 2.35777, 0.625
6.98958, 1, -14, 119.167, 2.31085, 0.625
7.02986, 1, -21, 119.583, 2.2522, 0.375
7.07014, 1, 2, 120, 2.43988, 0.625
7.10903, 1, -1, 120, 2.42815, 0.625
7.14861, 1, -5, 120, 2.39296, 0.625
7.18819, 1, -11, 119.583, 2.33431, 0.625
7.22917, 1, -18, 119.167, 2.29912, 0.625
7.26875, 1, -23, 118.75, 2.22874, 0.625
7.30833, 1, 3, 119.167, 2.42815, 0.375
7.34931, 1, -5, 119.167, 2.39296, 0.625
7.39028, 1, -12, 119.583, 2.32258, 0.625
7.43056, 1, -19, 120.417, 2.26393, 0.625
7.47222, 1, -28, 120.833, 2.18182, 0.375
7.51389, 1, -7, 121.667, 2.3695, 0.375
7.55347, 1, -10, 122.083, 2.31085, 0.375
7.59444, 1, -17, 122.5, 2.2522, 0.375
7.63472, 1, -24, 122.5, 2.21701, 0.375
7.675, 1, -31, 122.083, 2.12317, 0.375
7.71597, 1, -37, 122.083, 2.11144, 0.375
7.75486, 1, -13, 121.25, 2.32258, 0.375
7.79375, 1, -16, 120.833, 2.28739, 0.375
7.83264, 1, -20, 120, 2.2522, 0.375
7.87153, 1, -24, 119.167, 2.21701, 0.375
7.90972, 1, -28, 117.917, 2.18182, 0.375
7.94792, 1, -2, 117.083, 2.41642, 0.625
7.98542, 1, -2, 116.25, 2.41642, 0.625
8.02431, 1, -7, 115.417, 2.35963, 0.625
8.06319, 1, -10, 115, 2.35963, 0.625
8.10278, 1, -16, 115, 2.27786, 0.625
8.14236, 1, -21, 115.417, 2.24282, 0.375
8.18125, 1, 3, 115.833, 2.4414, 0.625
8.22083, 1, 0, 116.667, 2.41804, 0.625
8.26111, 1, -6, 117.5, 2.38123, 0.625
8.30208, 1, -14, 117.917, 2.31085, 0.375
8.34375, 1, -22, 118.75, 2.24047, 0.375
8.38403, 1, 1, 120, 2.45161, 0.375
8.42431, 1, -3, 120.833, 2.40469, 0.375
8.46458, 1, -10, 121.667, 2.34604, 0.375
8.50556, 1, -17, 121.667, 2.31085, 0.375
8.54583, 1, -24, 121.667, 2.20528, 0.375
8.58542, 1, -30, 121.667, 2.12317, 0.375
8.62431, 1, -8, 120.833, 2.2522, 0.375
8.6625, 1, -11, 120.417, 2.20528, 0.375
8.7, 1, -17, 119.167, 2.09971, 0.375
8.73681, 1, -22, 117.5, 1.99413, 0.375
8.77153, 1, -28, 115.417, 1.81818, 0.375
8.80486, 1, -9, 112.917, 1.85337, 0.375
8.83611, 1, -10, 110, 1.72434, 0.25
8.86528, 1, -14, 105.833, 1.65396, 0.25
8.89167, 1, -16, 101.25, 1.48974, 0.25
8.91597, 1, -17, 95.8333, 1.37815, 0.25
8.93819, 1, -17, 90, 1.24858, 0.25
8.97639, 1, -2, 76.6667, 1.16613, 0.25
8.99236, 1, -2, 70.4167, 1.03656, 0.25
9.00625, 1, -1, 64.1667, 0.918768, 0.25
