Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
4.13681, 1, 51, 119.583, 2.8739, 1.375
4.17639, 1, 46, 119.583, 2.86232, 1.375
4.21597, 1, 41, 119.167, 2.79164, 1.375
4.25347, 1, 40, 118.75, 2.8152, 1.375
4.29167, 1, 38, 117.5, 2.76808, 1.5
4.33056, 1, 62, 117.083, 2.98011, 1.5
4.37014, 1, 56, 116.25, 2.93299, 1.5
4.41042, 1, 50, 116.25, 2.88563, 1.5
4.45069, 1, 47, 116.667, 2.82698, 1.375
4.49236, 1, 38, 117.5, 2.7566, 1.375
4.53333, 1, 59, 119.167, 2.94428, 1.375
4.57361, 1, 52, 120.417, 2.88563, 1.375
4.61319, 1, 47, 121.25, 2.83871, 1.375
4.65417, 1, 43, 121.667, 2.73314, 1.25
4.69444, 1, 36, 121.667, 2.74487, 1.375
4.73403, 1, 31, 121.25, 2.72141, 1.25
4.77292, 1, 55, 120.417, 2.90909, 1.375
4.8125, 1, 49, 120, 2.85044, 1.375
4.85347, 1, 42, 119.583, 2.79179, 1.25
4.89444, 1, 38, 119.583, 2.76833, 1.25
4.93403, 1, 32, 119.583, 2.70968, 1.25
4.97431, 1, 54, 119.583, 2.89736, 1.25
5.01458, 1, 48, 120.417, 2.8739, 1.25
5.05556, 1, 41, 120.833, 2.78006, 1.25
5.09444, 1, 36, 120.833, 2.74487, 1.25
5.13403, 1, 34, 120.417, 2.72141, 1.25
5.17222, 1, 30, 120, 2.68622, 1.25
5.20903, 1, 57, 118.75, 2.92082, 1.375
5.24583, 1, 56, 117.5, 2.94428, 1.5
5.28403, 1, 53, 115.417, 2.88563, 1.5
5.32361, 1, 50, 114.167, 2.86217, 1.5
5.36319, 1, 45, 113.75, 2.81525, 1.625
5.40347, 1, 67, 114.167, 3.01466, 1.5
5.44306, 1, 61, 115.417, 2.95601, 1.5
5.48472, 1, 51, 117.083, 2.8739, 1.5
5.52708, 1, 47, 119.167, 2.80352, 1.5
5.56944, 1, 33, 120.833, 2.67449, 1.5
5.61042, 1, 29, 122.5, 2.67449, 1.5
5.65208, 1, 49, 123.75, 2.85044, 1.5
5.69375, 1, 41, 124.583, 2.78006, 1.5
5.73472, 1, 33, 125, 2.70968, 1.375
5.775, 1, 30, 124.583, 2.65103, 1.25
5.81389, 1, 26, 123.75, 2.65103, 1.25
5.85278, 1, 50, 122.5, 2.8741, 1.25
5.89236, 1, 45, 121.25, 2.82698, 1.25
5.93125, 1, 41, 119.583, 2.8152, 1.25
5.97153, 1, 34, 118.333, 2.73275, 1.25
6.01181, 1, 30, 117.917, 2.69741, 1.25
6.05069, 1, 26, 117.917, 2.68563, 1.25
6.08958, 1, 50, 118.333, 2.86217, 1.25
6.12847, 1, 46, 118.333, 2.85044, 1.25
6.16806, 1, 40, 118.333, 2.78006, 1.25
6.20694, 1, 36, 117.917, 2.74487, 1.375
6.24514, 1, 34, 117.5, 2.72141, 1.375
6.28264, 1, 61, 116.667, 2.95601, 1.375
6.32222, 1, 56, 116.25, 2.92082, 1.5
6.3625, 1, 50, 115.833, 2.88563, 1.5
6.40347, 1, 42, 116.25, 2.81525, 1.375
6.44444, 1, 39, 117.083, 2.79179, 1.375
6.48472, 1, 31, 118.333, 2.69795, 1.25
6.52569, 1, 52, 120, 2.88563, 1.25
6.56667, 1, 44, 121.25, 2.78006, 1.25
6.60625, 1, 42, 122.083, 2.79179, 1.25
6.64514, 1, 34, 121.667, 2.72141, 1.25
6.68542, 1, 31, 121.25, 2.69795, 1.25
6.72431, 1, 55, 120.417, 2.90909, 1.375
6.76319, 1, 52, 119.583, 2.88563, 1.375
6.80208, 1, 47, 118.333, 2.86217, 1.375
6.84236, 1, 44, 117.917, 2.81525, 1.375
6.88194, 1, 37, 117.5, 2.74487, 1.375
6.92222, 1, 31, 117.917, 2.69795, 1.25
6.96181, 1, 55, 118.333, 2.93255, 1.375
7.00208, 1, 47, 118.75, 2.83871, 1.25
